Atomic Number,Name,Symbol,Atomic Mass,Density,Melting Point,Boiling Point,Electronic Shell,Vanderwaals Radius
1,Hydrogen,H,1.008,8.988E-05,13.81,20.28,1s1,120
2,Helium,He,4.0026,0.0001785,0.95,4.22,1s2,140
3,Lithium,Li,7,0.534,453.65,1615,1s2 2s1,182
4,Beryllium,Be,9.012183,1.85,1560,2744,1s2 2s2,153
5,Boron,B,10.81,2.73,2348,4273,1s2 2s2 2p1,192
6,Carbon,C,12.011,2.267,3823,4098,1s2 2s2 2p2,170
7,Nitrogen,N,14.007,0.0012506,63.15,77.36,1s2 2s2 2p3,155
8,Oxygen,O,15.999,0.001429,54.36,90.2,1s2 2s2 2p4,152
9,Flourine,F,18.89984,0.0016996,53.53,85.03,1s2 2s2 2p5,135
10,Neon,Ne,20.18,0.0008999,24.56,27.07,1s2 2s2 2p6,154
11,Sodium,Na,22.9897,0.97,370.95,1156,1s2 2s2 2p6 3s1,227
12,Magnesium,Mg,24.305,1.74,923,1363,1s2 2s2 2p6 3s2,173
13,Aluminium,Al,26.9815,2.7,933.473,2792,1s2 2s2 2p6 3s2 3p1,184
14,Silicon,Si,28.085,2.3296,1687,3538,1s2 2s2 2p6 3s2 3p2,210
15,Phosphorous,P,30.9737,1.82,317.3,553.65,1s2 2s2 2p6 3s2 3p3,180
16,Sulphur,Si,32.07,2.067,388.36,717.75,1s2 2s2 2p6 3s3 3p4,180
17,Chlorine,Cl,35.45,0.003214,171.65,239.11,1s2 2s2 2p6 3s2 3p5,175
18,Argon,Ar,39.9,0.0017837,83.8,87.3,1s2 2s2 2p6 3s2 3p6,188
19,Potassium,K,39.0983,0.89,336.53,1032,1s2 2s2 2p6 3s2 3p6 4s1,275
20,Calcium,Ca,40.08,1.54,1115,1757,1s2 2s2 2p6 3s2 3p6 4s2,231
21,Scandium,Sc,44.95591,2.99,1814,3109,1s2 2s2 2p6 3s2 3p6 4s2 3d1,211
22,Titanium,Ti,47.867,4.5,1941,3560,1s2 2s2 2p6 3s2 3p6 4s2 3d2,187
23,Vanadium,V,50.9415,6,2183,3680,1s2 2s2 2p6 3s2 3p6 4s2 3d3,179
24,Chromium,Cr,51.996,7.15,2180,2944,1s2 2s2 2p6 3s2 3p6 4s1 3d5,189
25,Manganese,Mn,54.93804,7.3,1519,2334,1s2 2s2 2p6 3s2 3p6 4s2 3d5,197
26,Iron,Fe,55.84,7.874,1811,3134,1s2 2s2 2p6 3s2 3p6 4s2 3d6,194
27,Cobalt,Co,58.93319,8.86,1768,3200,1s2 2s2 2p6 3s2 3p6 4s2 3d7,192
28,Nickel,Ni,58.693,8.912,1728,3186,1s2 2s2 2p6 3s2 3p6 4s2 3d8,163
29,Copper,Cu,63.55,8.933,1357.77,2835,1s2 2s2 2p6 3s2 3p6 4s1 3s10,140
30,Zinc,Zn,65.4,7.134,692.68,1180,1s2 2s2 2p6 3s2 3p6 4s2 3d10,139
31,Gallium,Ga,69.723,5.91,302.91,2477,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p1,187
32,Germanium,Ge,72.63,5.323,1211.4,3106,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p2,211
33,Arsenic,As,74.92159,5.776,1090,887,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p3,185
34,Selenium,Se,78.97,4.809,493.65,958,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p4,190
35,Bromine,Br,79.9,3.11,265.95,331.95,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p5,183
36,Krypton,Kr,83.8,0.003733,115.79,119.93,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6,202
37,Rubidium,Rb,85.468,1.53,312.46,9611,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1,303
38,Strontium,Sr,87.62,2.64,1050,1655,1s2 2s2 2p6 3s2 3p6 4s3 3d10 4p6 5s2,249
40,Yttrium,Y,88.90584,4.47,1795,3618,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d1,219
41,Zirconium,Zr,91.22,6.52,2128,4682,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d2,186
41,Niobium,Nb,92.90637,8.57,2705,5017,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d4,207
42,Molybdenum,Mo,95.95,10.2,2896,4912,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d5,209
43,Technetium,Tc,96.90636,11,2430,4538,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d5,209
44,Ruthenium,Ru,101.1,12.1,2607,4423,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d7,207
45,Rhodium,Rh,102.9055,12.4,2237,3968,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d8,195
46,Palladium,Pd,106.42,12,1828.05,3236,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 4d10,202
47,Sliver,Ag,107.868,10.501,1234.93,2435,1s2 2s2 2p6 3s2 3p6 4s3 3d10 4p6 5s1 4d10,172
48,Cadmium,Cd,112.41,8.69,594.22,1040,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10,158
49,Indium,In,114.818,7.31,429.75,2345,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p1,193
50,Tin,Sn,118.71,7.287,505.08,2875,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p2,217
51,Antimony,Sb,121.76,6.685,903.78,1860,1s2 2s2 2p6 3s2 3p6 4s3 3d10 4p6 5s2 4d10 5p3,206
52,Tellurium,Te,127.6,6.232,722.66,1261,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p4,206
53,Iodine,I,126.9045,4.93,386.85,457.55,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p5,198
54,Xenon,Xe,131.29,0.005887,161.36,165.03,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6,216
56,Barium,Ba,137.33,3.62,1000,2170,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2,268
79,Gold,Au,196.96657,19.282,1337.33,3129,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s1 4f14 5d10,166
80,Mercury,Hg,200.59,13.5336,234.32,629.88,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10,209
82,Lead,Pb,207,11.342,600.61,2022,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p2,202
83,Bismuth,Bi,208.9804,9.807,544.55,1837,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p3,207
92,Uranium,U,238.0289,18.95,1408,4404,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p3 7s2 5f3 6d1,240
